config_name,wing_mode,broken_wing_extra_width,butterfly_width,coverage_band_width,center_tolerance,recenter_threshold,drift_persistence_bars,rebuild_cooldown_minutes,net_dollar_pnl,return_on_capital,max_drawdown_dollars,corridor_occupancy_rate,average_rebuilds_per_day,closed_layers,win_rate_by_closed_layer,profit_factor_by_closed_layer,profit_factor_by_day,best_day_pnl_dollars,worst_day_pnl_dollars,max_gross_deployment_dollars,max_modeled_capital_at_risk_dollars
broken_upper_bw20_w60_tol12p5_rt18_dp10_cd90,broken_upper,20.0,60.0,120.0,12.5,18.0,10,90,81109.8966,0.811099,-3841.8599999999997,0.5972,0.272,506,0.948617,14.468606,15.008751,1351.7403,-2775.1995,6801.2,6812.4
broken_lower_bw20_w60_tol15_rt18_dp8_cd90,broken_lower,20.0,60.0,120.0,15.0,18.0,8,90,81014.6728,0.810147,-3794.99,0.656,0.256,495,0.975758,28.910225,29.901781,1271.5862,-2767.4469,6801.2,6812.4
broken_upper_bw20_w60_tol15_rt14_dp8_cd60,broken_upper,20.0,60.0,120.0,15.0,14.0,8,60,80873.5264,0.808735,-5200.29,0.656,0.328,521,0.953935,10.166985,10.408199,1159.5773,-2775.1995,6801.2,6812.4
symmetric_bw0_w80_tol15_rt18_dp8_cd90,symmetric,0.0,80.0,160.0,15.0,18.0,8,90,80784.5148,0.807845,-1432.79,0.656,0.268,498,0.957831,108.68548,159.890405,1202.3563,-135.7399,6361.8,6378.6
broken_lower_bw20_w60_tol15_rt14_dp10_cd60,broken_lower,20.0,60.0,120.0,15.0,14.0,10,60,80159.232,0.801592,-3819.5099999999998,0.656,0.268,496,0.97379,19.433998,19.745328,1464.9067,-2767.4469,6801.2,6812.4
broken_upper_bw20_w60_tol15_rt16_dp8_cd60,broken_upper,20.0,60.0,120.0,15.0,16.0,8,60,80072.803,0.800728,-5200.29,0.656,0.316,516,0.953488,10.076225,10.315049,1198.456,-2775.1995,6801.2,6812.4
broken_lower_bw20_w60_tol15_rt16_dp10_cd60,broken_lower,20.0,60.0,120.0,15.0,16.0,10,60,79853.8859,0.798539,-3819.5099999999998,0.656,0.26,494,0.97166,19.325977,19.673922,1464.9067,-2767.4469,6801.2,6812.4
symmetric_bw0_w80_tol15_rt14_dp10_cd60,symmetric,0.0,80.0,160.0,15.0,14.0,10,60,79388.7834,0.793888,-3486.09,0.656,0.272,497,0.957746,29.818061,31.309977,1376.6593,-2203.3301,6361.8,6378.6
symmetric_bw0_w80_tol15_rt16_dp10_cd60,symmetric,0.0,80.0,160.0,15.0,16.0,10,60,79086.4614,0.790865,-3486.09,0.656,0.264,495,0.957576,29.708312,31.194553,1376.6593,-2203.3301,6361.8,6378.6
broken_lower_bw20_w60_tol15_rt14_dp10_cd90,broken_lower,20.0,60.0,120.0,15.0,14.0,10,90,78853.1967,0.788532,-3819.5099999999998,0.656,0.236,488,0.971311,19.096321,19.43991,1276.9064,-2767.4469,6801.2,6812.4
broken_lower_bw20_w60_tol15_rt16_dp10_cd90,broken_lower,20.0,60.0,120.0,15.0,16.0,10,90,78704.2189,0.787042,-3819.5099999999998,0.656,0.232,487,0.971253,19.062133,19.405071,1276.9064,-2767.4469,6801.2,6812.4
broken_lower_bw20_w60_tol15_rt18_dp10_cd60,broken_lower,20.0,60.0,120.0,15.0,18.0,10,60,78675.6842,0.786757,-3819.5099999999998,0.656,0.236,487,0.971253,19.055586,19.398398,1464.9067,-2767.4469,6801.2,6812.4
symmetric_bw0_w80_tol15_rt18_dp10_cd60,symmetric,0.0,80.0,160.0,15.0,18.0,10,60,78147.6825,0.781477,-3486.09,0.656,0.244,489,0.957055,29.367558,30.836135,1376.6593,-2203.3301,6361.8,6378.6
symmetric_bw0_w80_tol15_rt14_dp10_cd90,symmetric,0.0,80.0,160.0,15.0,14.0,10,90,78139.0209,0.78139,-3486.09,0.656,0.24,489,0.95501,29.041715,30.832828,1208.8291,-2203.3301,6361.8,6378.6
symmetric_bw0_w80_tol15_rt16_dp10_cd90,symmetric,0.0,80.0,160.0,15.0,16.0,10,90,77992.5759,0.779926,-3486.09,0.656,0.236,488,0.954918,28.989159,30.776916,1208.8291,-2203.3301,6361.8,6378.6
broken_upper_bw20_w60_tol15_rt14_dp8_cd90,broken_upper,20.0,60.0,120.0,15.0,14.0,8,90,77810.6647,0.778107,-5200.29,0.656,0.288,511,0.949119,8.606927,9.49923,1159.5773,-2775.1995,6801.2,6812.4
broken_lower_bw20_w60_tol15_rt18_dp10_cd90,broken_lower,20.0,60.0,120.0,15.0,18.0,10,90,77713.3787,0.777134,-3819.5099999999998,0.656,0.212,481,0.970894,18.834742,19.173362,1276.9064,-2767.4469,6801.2,6812.4
broken_upper_bw20_w60_tol15_rt18_dp8_cd60,broken_upper,20.0,60.0,120.0,15.0,18.0,8,60,77600.1185,0.776001,-5200.29,0.656,0.284,502,0.952191,9.795952,10.027396,1196.2292,-2775.1995,6801.2,6812.4
symmetric_bw0_w80_tol15_rt18_dp10_cd90,symmetric,0.0,80.0,160.0,15.0,18.0,10,90,77237.8821,0.772379,-3486.09,0.656,0.22,483,0.954451,28.718345,30.488781,1208.8291,-2203.3301,6361.8,6378.6
broken_upper_bw20_w60_tol15_rt14_dp10_cd60,broken_upper,20.0,60.0,120.0,15.0,14.0,10,60,77223.1006,0.772231,-5562.9,0.656,0.268,496,0.951613,9.819071,9.983537,1222.0229,-2775.1995,6801.2,6812.4
broken_upper_bw20_w60_tol15_rt16_dp8_cd90,broken_upper,20.0,60.0,120.0,15.0,16.0,8,90,76958.818,0.769588,-5200.29,0.656,0.276,506,0.948617,8.505292,9.570562,966.2662,-2775.1995,6801.2,6812.4
broken_upper_bw20_w60_tol15_rt16_dp10_cd60,broken_upper,20.0,60.0,120.0,15.0,16.0,10,60,76875.6185,0.768756,-5562.9,0.656,0.26,494,0.951417,9.779387,9.943113,1222.0229,-2775.1995,6801.2,6812.4
broken_upper_bw20_w60_tol15_rt18_dp10_cd60,broken_upper,20.0,60.0,120.0,15.0,18.0,10,60,75636.9297,0.756369,-5562.9,0.656,0.236,487,0.950719,9.637923,9.799014,1222.0229,-2775.1995,6801.2,6812.4
broken_upper_bw20_w60_tol15_rt18_dp8_cd90,broken_upper,20.0,60.0,120.0,15.0,18.0,8,90,74665.7022,0.746657,-5200.29,0.656,0.248,493,0.947262,8.281663,9.315188,966.2662,-2775.1995,6801.2,6812.4
broken_upper_bw20_w60_tol15_rt14_dp10_cd90,broken_upper,20.0,60.0,120.0,15.0,14.0,10,90,74347.5472,0.743475,-5562.9,0.656,0.236,488,0.946721,8.293634,9.221118,966.2662,-2775.1995,6801.2,6812.4
broken_upper_bw20_w60_tol15_rt16_dp10_cd90,broken_upper,20.0,60.0,120.0,15.0,16.0,10,90,74178.2407,0.741782,-5562.9,0.656,0.232,487,0.946612,8.277023,9.202397,966.2662,-2775.1995,6801.2,6812.4
