timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,friction_cost,close_value,realized_pnl,drift_distance
2025-09-02T17:40:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,638.85,638.0,197.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,633.0,638.0,643.0,5.0,5.0,1.156,0.056,,,
2025-09-02T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,639.58,637.0,196.0,Session window closed.,PRIMARY,632.0,637.0,642.0,5.0,5.0,1.156,,1.6349,0.4789,
2025-09-02T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,639.58,638.0,197.0,Session window closed.,SUPPLEMENTAL,633.0,638.0,643.0,5.0,5.0,1.156,,1.7398,0.5838,
2025-09-03T14:15:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,642.64,640.0,198.0,Opened the primary butterfly corridor layer.,PRIMARY,635.0,640.0,645.0,5.0,5.0,1.156,0.056,,,
2025-09-03T14:20:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,642.82,642.0,199.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,637.0,642.0,647.0,5.0,5.0,1.156,0.056,,,
2025-09-03T15:00:00+00:00,SPY,DRIFT_STARTED,DRIFTING,644.03,641.0,,Corridor drift started.,,,,,,,,,,,3.03
2025-09-03T15:05:00+00:00,SPY,DRIFT_RESOLVED,ACTIVE_CENTERED,643.95,641.0,,Drift resolved without rebuilding.,,,,,,,,,,,
2025-09-03T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,641.8,640.0,198.0,Session window closed.,PRIMARY,635.0,640.0,645.0,5.0,5.0,1.156,,1.7662,0.6102,
2025-09-03T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,641.8,642.0,199.0,Session window closed.,SUPPLEMENTAL,637.0,642.0,647.0,5.0,5.0,1.156,,1.9517,0.7957,
2025-09-04T13:45:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,644.89,643.0,200.0,Opened the primary butterfly corridor layer.,PRIMARY,638.0,643.0,648.0,5.0,5.0,1.156,0.056,,,
2025-09-04T13:50:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,644.86,644.0,201.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,639.0,644.0,649.0,5.0,5.0,1.156,0.056,,,
2025-09-04T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,648.14,643.0,200.0,Session window closed.,PRIMARY,638.0,643.0,648.0,5.0,5.0,1.156,,0.0,-1.156,
2025-09-04T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,648.14,644.0,201.0,Session window closed.,SUPPLEMENTAL,639.0,644.0,649.0,5.0,5.0,1.156,,1.4963,0.3403,
2025-09-05T14:00:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,650.5,649.0,202.0,Opened the primary butterfly corridor layer.,PRIMARY,644.0,649.0,654.0,5.0,5.0,1.156,0.056,,,
2025-09-05T14:20:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,646.75,648.0,203.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,643.0,648.0,653.0,5.0,5.0,1.156,0.056,,,
2025-09-05T14:35:00+00:00,SPY,DRIFT_STARTED,DRIFTING,645.36,649.0,,Corridor drift started.,,,,,,,,,,,3.64
2025-09-05T15:00:00+00:00,SPY,ABORTED,DRIFTING,644.24,649.0,202.0,Regime turned TREND_DOWN.,PRIMARY,644.0,649.0,654.0,5.0,5.0,1.156,,1.3896,0.2336,
2025-09-05T15:00:00+00:00,SPY,ABORTED,DRIFTING,644.24,648.0,203.0,Regime turned TREND_DOWN.,SUPPLEMENTAL,643.0,648.0,653.0,5.0,5.0,1.156,,1.4921,0.3361,
2025-09-05T18:00:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,645.04,646.0,204.0,Opened the primary butterfly corridor layer.,PRIMARY,641.0,646.0,651.0,5.0,5.0,1.156,0.056,,,
2025-09-05T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,646.83,646.0,204.0,Session window closed.,PRIMARY,641.0,646.0,651.0,5.0,5.0,1.156,,1.8151,0.6591,
2025-09-08T13:45:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,648.66,647.0,205.0,Opened the primary butterfly corridor layer.,PRIMARY,642.0,647.0,652.0,5.0,5.0,1.156,0.056,,,
2025-09-08T14:35:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,649.1,648.0,206.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,643.0,648.0,653.0,5.0,5.0,1.156,0.056,,,
2025-09-08T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,647.86,647.0,205.0,Session window closed.,PRIMARY,642.0,647.0,652.0,5.0,5.0,1.156,,1.8847,0.7287,
2025-09-08T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,647.86,648.0,206.0,Session window closed.,SUPPLEMENTAL,643.0,648.0,653.0,5.0,5.0,1.156,,1.9539,0.7979,
2025-09-09T13:45:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,649.08,648.0,207.0,Opened the primary butterfly corridor layer.,PRIMARY,643.0,648.0,653.0,5.0,5.0,1.156,0.056,,,
2025-09-09T19:35:00+00:00,SPY,SESSION_FLUSH,ACTIVE_CENTERED,649.94,648.0,207.0,Session window closed.,PRIMARY,643.0,648.0,653.0,5.0,5.0,1.156,,1.757,0.601,
2025-09-10T13:45:00+00:00,SPY,ENTER_PRIMARY,ACTIVE_CENTERED,653.74,651.0,208.0,Opened the primary butterfly corridor layer.,PRIMARY,646.0,651.0,656.0,5.0,5.0,1.156,0.056,,,
2025-09-10T13:50:00+00:00,SPY,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,653.14,652.0,209.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,647.0,652.0,657.0,5.0,5.0,1.156,0.056,,,
2025-09-10T14:00:00+00:00,SPY,DRIFT_STARTED,DRIFTING,654.13,651.0,,Corridor drift started.,,,,,,,,,,,3.13
