timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,contracts_per_layer,option_multiplier,drift_distance,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile,drift_count,primary_return_pct
2025-06-26T14:55:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6127.63,6105.0,,Corridor drift started.,,,,,,,,,,,,,22.63,,,,,,,,
2025-06-26T15:05:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6129.5,6110.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-06-26T15:10:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6128.52,6120.0,83.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6060.0,6120.0,6180.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-06-26T15:15:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6130.52,6110.0,,Corridor drift started.,,,,,,,,,,,,,20.52,,,,,,,,
2025-06-26T15:25:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6124.69,6110.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-06-26T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6138.22,6105.0,82.0,Session window closed.,PRIMARY,6045.0,6105.0,6165.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,16.3398,19.3093,0.4138,3.4693,0.086,conservative,,
2025-06-26T19:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6138.22,6120.0,83.0,Session window closed.,SUPPLEMENTAL,6060.0,6120.0,6180.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,17.0796,20.1797,1.1536,4.3397,0.086,conservative,,
2025-06-27T14:20:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6172.06,6150.0,84.0,Opened the primary butterfly corridor layer.,PRIMARY,6090.0,6150.0,6210.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-06-27T14:25:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6173.0,6150.0,,Corridor drift started.,,,,,,,,,,,,,23.0,,,,,,,,
2025-06-27T14:55:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6172.45,6155.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-06-27T15:00:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6174.34,6165.0,85.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6105.0,6165.0,6225.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-06-27T15:05:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6175.58,6155.0,,Corridor drift started.,,,,,,,,,,,,,20.58,,,,,,,,
2025-06-27T15:10:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6176.01,6160.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-06-27T15:30:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6180.27,6160.0,,Corridor drift started.,,,,,,,,,,,,,20.27,,,,,,,,
2025-06-27T15:35:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6182.85,6165.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,
2025-06-27T18:10:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6159.2,6180.0,,Corridor drift started.,,,,,,,,,,,,,20.8,,,,,,,,
2025-06-27T18:50:00+00:00,SPX,ABORTED,DRIFTING,6135.58,6150.0,84.0,Regime turned TREND_DOWN.,PRIMARY,6090.0,6150.0,6210.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,17.2763,20.411,1.3503,4.571,0.086,conservative,,
2025-06-27T18:50:00+00:00,SPX,ABORTED,DRIFTING,6135.58,6165.0,85.0,Regime turned TREND_DOWN.,SUPPLEMENTAL,6105.0,6165.0,6225.0,60.0,7.0,15.926,15.84,,0.086,1.0,100.0,,16.486,19.4813,0.56,3.6413,0.086,conservative,,
2025-06-30T13:55:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6187.3,6160.0,86.0,Opened the primary butterfly corridor layer.,PRIMARY,6100.0,6160.0,6220.0,60.0,7.0,15.926,15.84,0.086,0.086,1.0,100.0,,,,,,,,,
2025-06-30T14:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6187.81,6160.0,,Corridor drift started.,,,,,,,,,,,,,27.81,,,,,,,,
