timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,lower_width,upper_width,wing_mode,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,entry_slippage_cost,entry_commission_cost,modeled_max_loss,contracts_per_layer,option_multiplier,primary_return_pct,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,close_slippage_cost,close_commission_cost,stress_profile
2026-03-18T16:00:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6677.57,6690.0,6298,Opened the primary butterfly corridor layer.,PRIMARY,6610.0,6690.0,6770.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2026-03-18T16:05:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6676.51,6690.0,6298,Primary take-profit reached.,PRIMARY,6610.0,6690.0,6770.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.6128,28.75,28.976,10.924,11.376,0.226,0.2,0.026,none
2026-03-18T16:10:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6682.09,6685.0,6299,Opened the primary butterfly corridor layer.,PRIMARY,6605.0,6685.0,6765.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2026-03-18T16:15:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6681.88,6685.0,6299,Primary take-profit reached.,PRIMARY,6605.0,6685.0,6765.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.6737,29.8355,30.0615,12.0095,12.4615,0.226,0.2,0.026,none
2026-03-18T16:20:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6682.73,6685.0,6300,Opened the primary butterfly corridor layer.,PRIMARY,6605.0,6685.0,6765.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2026-03-18T16:25:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6680.58,6685.0,6300,Primary take-profit reached.,PRIMARY,6605.0,6685.0,6765.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.6661,29.6995,29.9255,11.8735,12.3255,0.226,0.2,0.026,none
2026-03-18T16:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6672.62,6680.0,6301,Opened the primary butterfly corridor layer.,PRIMARY,6600.0,6680.0,6760.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2026-03-18T16:35:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6675.66,6680.0,6301,Primary take-profit reached.,PRIMARY,6600.0,6680.0,6760.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.6665,29.7078,29.9338,11.8818,12.3338,0.226,0.2,0.026,none
2026-03-18T16:40:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6674.4,6680.0,6302,Opened the primary butterfly corridor layer.,PRIMARY,6600.0,6680.0,6760.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
2026-03-18T16:45:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6675.34,6680.0,6302,Primary take-profit reached.,PRIMARY,6600.0,6680.0,6760.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,,0.226,,,,1,100,0.6647,29.6743,29.9003,11.8483,12.3003,0.226,0.2,0.026,none
2026-03-18T16:50:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6679.21,6680.0,6303,Opened the primary butterfly corridor layer.,PRIMARY,6600.0,6680.0,6760.0,80.0,80.0,80.0,symmetric,7,17.826,17.6,0.226,0.226,0.2,0.026,17.826,1,100,,,,,,,,,
