timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,contracts_per_layer,option_multiplier,drift_distance,drift_count,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile
2025-06-13T16:15:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,6025.2,6005.0,206.0,Established a fresh primary butterfly corridor layer.,PRIMARY,5975.0,6005.0,6035.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-06-13T16:20:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6023.4,6005.0,,Corridor drift started.,,,,,,,,,,,,,18.4,,,,,,,
2025-06-13T16:35:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6014.72,6005.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,
2025-06-13T16:40:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6014.64,6010.0,207.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5980.0,6010.0,6040.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-06-13T16:45:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6011.64,6010.0,208.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,5980.0,6010.0,6040.0,30.0,7.0,6.656,6.6,0.056,0.056,1.0,100.0,,,,,,,,
2025-06-13T16:50:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6019.31,6005.0,,Corridor drift started.,,,,,,,,,,,,,14.31,,,,,,,
2025-06-13T17:05:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6012.44,6010.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,
2025-06-13T18:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,5999.81,6015.0,,Corridor drift started.,,,,,,,,,,,,,15.19,,,,,,,
2025-06-13T18:25:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,5979.44,6010.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,30.56,6.0,,,,,,
2025-06-13T18:30:00+00:00,SPX,REBUILT,REBUILD,5973.37,6005.0,206.0,Removed prior layers for rebuild.,PRIMARY,5975.0,6005.0,6035.0,30.0,7.0,6.656,6.6,,0.056,1.0,100.0,,,0.2347,0.2907,-6.4213,-6.3093,0.056,none
