timestamp_utc,timestamp_local,symbol,signal,regime,price,reason,extras_json
2026-03-24T19:23:00+00:00,2026-03-24 15:23:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,654.96,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 654.7346, ""range_width_pct"": 0.0042}"
2026-03-24T19:28:00+00:00,2026-03-24 15:28:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,585.16,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 585.3204, ""range_width_pct"": 0.0041}"
2026-03-24T19:33:00+00:00,2026-03-24 15:33:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,654.37,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 654.7908, ""range_width_pct"": 0.004}"
2026-03-24T19:41:00+00:00,2026-03-24 15:41:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,584.63,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 585.3269, ""range_width_pct"": 0.0039}"
2026-03-24T19:50:00+00:00,2026-03-24 15:50:00 EDT,SPY,TREND_SHORT,TREND_DOWN,653.32,Trend-down pullback to fast EMA with negative momentum/volume confirmation.,"{""ema_fast"": 653.8659, ""stop_price"": 654.8935, ""target_price"": 650.9598, ""volume_ratio"": 1.527}"
2026-03-24T19:52:00+00:00,2026-03-24 15:52:00 EDT,QQQ,TREND_SHORT,TREND_DOWN,583.65,Trend-down pullback to fast EMA with negative momentum/volume confirmation.,"{""ema_fast"": 584.3221, ""stop_price"": 585.448, ""target_price"": 580.953, ""volume_ratio"": 1.434}"
2026-03-24T19:58:00+00:00,2026-03-24 15:58:00 EDT,SPY,EXIT_SHORT,NO_TRADE,652.79,Short exited because regime is no longer TREND_DOWN.,{}
2026-03-24T19:59:00+00:00,2026-03-24 15:59:00 EDT,QQQ,EXIT_SHORT,NO_TRADE,583.93,Short exited because regime is no longer TREND_DOWN.,{}
2026-03-25T15:29:00+00:00,2026-03-25 11:29:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,657.84,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.7413, ""range_width_pct"": 0.0076}"
2026-03-25T15:30:00+00:00,2026-03-25 11:30:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,589.22,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 589.4803, ""range_width_pct"": 0.0094}"
2026-03-25T15:50:00+00:00,2026-03-25 11:50:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,656.95,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.6843, ""range_width_pct"": 0.0076}"
2026-03-25T16:00:00+00:00,2026-03-25 12:00:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,656.83,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.5023, ""range_width_pct"": 0.0073}"
2026-03-25T16:12:00+00:00,2026-03-25 12:12:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,656.46,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.2359, ""range_width_pct"": 0.0061}"
2026-03-25T16:22:00+00:00,2026-03-25 12:22:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,656.61,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 656.9948, ""range_width_pct"": 0.0034}"
2026-03-25T16:28:00+00:00,2026-03-25 12:28:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,588.69,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 588.0256, ""range_width_pct"": 0.0046}"
2026-03-25T16:48:00+00:00,2026-03-25 12:48:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,657.54,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.1051, ""range_width_pct"": 0.0035}"
2026-03-25T16:51:00+00:00,2026-03-25 12:51:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,588.47,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 588.1734, ""range_width_pct"": 0.0049}"
2026-03-25T16:58:00+00:00,2026-03-25 12:58:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,657.67,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.1874, ""range_width_pct"": 0.0035}"
2026-03-25T17:03:00+00:00,2026-03-25 13:03:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,588.48,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 588.1994, ""range_width_pct"": 0.0045}"
2026-03-25T17:08:00+00:00,2026-03-25 13:08:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,657.25,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.1767, ""range_width_pct"": 0.0033}"
2026-03-25T17:13:00+00:00,2026-03-25 13:13:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,588.78,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 588.2432, ""range_width_pct"": 0.0043}"
2026-03-25T17:18:00+00:00,2026-03-25 13:18:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,657.04,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.259, ""range_width_pct"": 0.0033}"
2026-03-25T17:23:00+00:00,2026-03-25 13:23:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,588.76,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 588.3376, ""range_width_pct"": 0.003}"
2026-03-25T17:29:00+00:00,2026-03-25 13:29:00 EDT,SPY,RANGE_BUTTERFLY_ZONE,RANGE,658.02,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 657.3632, ""range_width_pct"": 0.0021}"
2026-03-25T17:33:00+00:00,2026-03-25 13:33:00 EDT,QQQ,RANGE_BUTTERFLY_ZONE,RANGE,589.05,Price is near estimated range center; suitable for neutral structures like butterfly/iron fly review.,"{""range_center"": 588.5231, ""range_width_pct"": 0.0028}"
2026-03-25T17:43:00+00:00,2026-03-25 13:43:00 EDT,QQQ,TREND_LONG,TREND_UP,590.13,Trend-up pullback to fast EMA with positive momentum/volume confirmation.,"{""ema_fast"": 589.3928, ""stop_price"": 588.1191, ""target_price"": 593.1463, ""volume_ratio"": 1.529}"
2026-03-25T17:44:00+00:00,2026-03-25 13:44:00 EDT,QQQ,EXIT_LONG,NO_TRADE,589.97,Long exited because regime is no longer TREND_UP.,{}
