timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,lower_width,upper_width,wing_mode,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,modeled_max_loss,contracts_per_layer,option_multiplier,primary_return_pct,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile,drift_distance,drift_count
2026-02-03T14:45:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6982.37,6985.0,1952.0,Opened the primary butterfly corridor layer.,PRIMARY,6885.0,6985.0,7045.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2026-02-03T14:50:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6972.26,6985.0,1952.0,Primary take-profit reached.,PRIMARY,6885.0,6985.0,7045.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,0.2244,14.7986,17.4961,2.7126,5.4961,0.086,conservative,,
2026-02-03T15:35:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6942.23,6975.0,1953.0,Opened the primary butterfly corridor layer.,PRIMARY,6875.0,6975.0,7035.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2026-02-03T15:40:00+00:00,SPX,ABORTED,ACTIVE_CENTERED,6935.73,6975.0,1953.0,Regime turned TREND_DOWN.,PRIMARY,6875.0,6975.0,7035.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,,13.9098,16.4504,1.8238,4.4504,0.086,conservative,,
2026-02-03T16:00:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6945.05,6965.0,1954.0,Opened the primary butterfly corridor layer.,PRIMARY,6865.0,6965.0,7025.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2026-02-03T16:05:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6943.55,6965.0,1954.0,Primary take-profit reached.,PRIMARY,6865.0,6965.0,7025.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,0.2003,14.5068,17.1528,2.4208,5.1528,0.086,conservative,,
2026-02-03T16:10:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6942.63,6965.0,1955.0,Opened the primary butterfly corridor layer.,PRIMARY,6865.0,6965.0,7025.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2026-02-03T16:15:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6940.94,6965.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,,,24.06,
2026-02-03T16:50:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,6929.56,6955.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,,,,,,,,,,,,25.44,8.0
2026-02-03T16:55:00+00:00,SPX,REBUILT,REBUILD,6928.05,6965.0,1955.0,Removed prior layers for rebuild.,PRIMARY,6865.0,6965.0,7025.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,,0.086,,1.0,100.0,,14.0325,16.5949,1.9465,4.5949,0.086,conservative,,
2026-02-03T16:55:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,6928.05,6950.0,1956.0,Established a fresh primary butterfly corridor layer.,PRIMARY,6850.0,6950.0,7010.0,60.0,100.0,60.0,broken_lower,7.0,12.086,12.0,0.086,0.086,52.086,1.0,100.0,,,,,,,,,
2026-02-03T17:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6926.83,6950.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,,,,,,23.17,
