timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,contracts_per_layer,option_multiplier,primary_return_pct,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,stress_profile
2025-07-18T16:15:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6296.74,6300.0,690,Primary take-profit reached.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,,0.056,1,100,0.6828,22.3077,22.3637,9.0517,9.1637,0.056,none
2025-07-18T16:40:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6292.2,6295.0,691,Opened the primary butterfly corridor layer.,PRIMARY,6235.0,6295.0,6355.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-18T16:45:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6291.17,6295.0,691,Primary take-profit reached.,PRIMARY,6235.0,6295.0,6355.0,60.0,7,13.256,13.2,,0.056,1,100,0.6783,22.2479,22.3039,8.9919,9.1039,0.056,none
2025-07-18T16:50:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6291.49,6295.0,692,Opened the primary butterfly corridor layer.,PRIMARY,6235.0,6295.0,6355.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-18T16:55:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6287.25,6295.0,692,Primary take-profit reached.,PRIMARY,6235.0,6295.0,6355.0,60.0,7,13.256,13.2,,0.056,1,100,0.6473,21.8363,21.8923,8.5803,8.6923,0.056,none
2025-07-18T17:00:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6287.21,6295.0,693,Opened the primary butterfly corridor layer.,PRIMARY,6235.0,6295.0,6355.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-18T17:05:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6288.59,6295.0,693,Primary take-profit reached.,PRIMARY,6235.0,6295.0,6355.0,60.0,7,13.256,13.2,,0.056,1,100,0.6579,21.977,22.033,8.721,8.833,0.056,none
2025-07-18T17:10:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6292.42,6295.0,694,Opened the primary butterfly corridor layer.,PRIMARY,6235.0,6295.0,6355.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-18T17:15:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6289.18,6295.0,694,Primary take-profit reached.,PRIMARY,6235.0,6295.0,6355.0,60.0,7,13.256,13.2,,0.056,1,100,0.6626,22.0389,22.0949,8.7829,8.8949,0.056,none
2025-07-18T17:20:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6290.01,6295.0,695,Opened the primary butterfly corridor layer.,PRIMARY,6235.0,6295.0,6355.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-18T17:25:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6289.84,6295.0,695,Primary take-profit reached.,PRIMARY,6235.0,6295.0,6355.0,60.0,7,13.256,13.2,,0.056,1,100,0.6678,22.1082,22.1642,8.8522,8.9642,0.056,none
2025-07-18T17:30:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6293.71,6295.0,696,Opened the primary butterfly corridor layer.,PRIMARY,6235.0,6295.0,6355.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
2025-07-18T17:35:00+00:00,SPX,TAKE_PROFIT,ACTIVE_CENTERED,6294.79,6295.0,696,Primary take-profit reached.,PRIMARY,6235.0,6295.0,6355.0,60.0,7,13.256,13.2,,0.056,1,100,0.707,22.628,22.684,9.372,9.484,0.056,none
2025-07-21T14:10:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6327.38,6300.0,697,Opened the primary butterfly corridor layer.,PRIMARY,6240.0,6300.0,6360.0,60.0,7,13.256,13.2,0.056,0.056,1,100,,,,,,,
