timestamp,symbol,action,state,price,center_price,layer_id,detail,kind,lower_strike,body_strike,upper_strike,width,lower_width,upper_width,wing_mode,dte,entry_cost,entry_debit,friction_cost,entry_friction_cost,entry_slippage_cost,entry_commission_cost,modeled_max_loss,contracts_per_layer,option_multiplier,drift_distance,close_value,gross_close_value,realized_pnl,gross_realized_pnl,close_friction_cost,close_slippage_cost,close_commission_cost,stress_profile,drift_count,primary_return_pct
2025-10-31T15:20:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,6864.96,6850.0,406.0,Established a fresh primary butterfly corridor layer.,PRIMARY,6770.0,6850.0,6930.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,0.426,0.426,0.4,0.026,21.546,1.0,100.0,,,,,,,,,,,
2025-10-31T15:25:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6859.36,6855.0,407.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6775.0,6855.0,6935.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,0.426,0.426,0.4,0.026,21.546,1.0,100.0,,,,,,,,,,,
2025-10-31T16:00:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6840.68,6855.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,14.32,,,,,,,,,,
2025-10-31T16:40:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,6832.92,6850.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,,,,,,,17.08,,,,,,,,,9.0,
2025-10-31T16:45:00+00:00,SPX,REBUILT,REBUILD,6836.01,6850.0,406.0,Removed prior layers for rebuild.,PRIMARY,6770.0,6850.0,6930.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,,0.426,,,,1.0,100.0,,22.9667,27.4457,1.4207,6.3257,0.426,0.4,0.026,conservative,,
2025-10-31T16:45:00+00:00,SPX,REBUILT,REBUILD,6836.01,6855.0,407.0,Removed prior layers for rebuild.,SUPPLEMENTAL,6775.0,6855.0,6935.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,,0.426,,,,1.0,100.0,,22.7233,27.1593,1.1773,6.0393,0.426,0.4,0.026,conservative,,
2025-10-31T16:45:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,6836.01,6850.0,408.0,Established a fresh primary butterfly corridor layer.,PRIMARY,6770.0,6850.0,6930.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,0.426,0.426,0.4,0.026,21.546,1.0,100.0,,,,,,,,,,,
2025-10-31T16:50:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6828.13,6850.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,21.87,,,,,,,,,,
2025-10-31T17:40:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6828.27,6840.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31T17:45:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6832.36,6835.0,409.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6755.0,6835.0,6915.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,0.426,0.426,0.4,0.026,21.546,1.0,100.0,,,,,,,,,,,
2025-10-31T19:05:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6848.52,6835.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,13.52,,,,,,,,,,
2025-10-31T19:35:00+00:00,SPX,SESSION_FLUSH,DRIFTING,6862.32,6850.0,408.0,Session window closed.,PRIMARY,6770.0,6850.0,6930.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,,0.426,,,,1.0,100.0,,23.1714,27.6865,1.6254,6.5665,0.426,0.4,0.026,conservative,,
2025-10-31T19:35:00+00:00,SPX,SESSION_FLUSH,DRIFTING,6862.32,6835.0,409.0,Session window closed.,SUPPLEMENTAL,6755.0,6835.0,6915.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,,0.426,,,,1.0,100.0,,22.368,26.7413,0.822,5.6213,0.426,0.4,0.026,conservative,,
2025-11-03T14:45:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6852.26,6845.0,410.0,Opened the primary butterfly corridor layer.,PRIMARY,6765.0,6845.0,6925.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,0.426,0.426,0.4,0.026,21.546,1.0,100.0,,,,,,,,,,,
2025-11-03T15:15:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6841.81,6845.0,411.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6765.0,6845.0,6925.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,0.426,0.426,0.4,0.026,21.546,1.0,100.0,,,,,,,,,,,
2025-11-03T15:20:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6836.94,6850.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,13.06,,,,,,,,,,
2025-11-03T15:40:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6840.59,6850.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-03T15:45:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6836.95,6850.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,13.05,,,,,,,,,,
2025-11-03T15:50:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6840.34,6850.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-03T17:10:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6857.65,6845.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,12.65,,,,,,,,,,
2025-11-03T17:20:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6855.51,6845.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-03T17:45:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6858.5,6845.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,
2025-11-03T17:55:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6859.91,6850.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-03T20:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6851.5,6845.0,410.0,Session window closed.,PRIMARY,6765.0,6845.0,6925.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,,0.426,,,,1.0,100.0,,23.7341,28.3484,2.1881,7.2284,0.426,0.4,0.026,conservative,,
2025-11-03T20:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6851.5,6845.0,411.0,Session window closed.,SUPPLEMENTAL,6765.0,6845.0,6925.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,,0.426,,,,1.0,100.0,,23.6873,28.2934,2.1413,7.1734,0.426,0.4,0.026,conservative,,
2025-11-04T18:25:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6773.21,6795.0,412.0,Opened the primary butterfly corridor layer.,PRIMARY,6715.0,6795.0,6875.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,0.426,0.426,0.4,0.026,21.546,1.0,100.0,,,,,,,,,,,
2025-11-04T18:30:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6771.95,6795.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,23.05,,,,,,,,,,
2025-11-04T18:40:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6778.42,6790.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-04T18:45:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6775.39,6790.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,14.61,,,,,,,,,,
2025-11-04T18:50:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6783.91,6790.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-04T18:55:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6782.16,6785.0,413.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6705.0,6785.0,6865.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,0.426,0.426,0.4,0.026,21.546,1.0,100.0,,,,,,,,,,,
2025-11-04T19:35:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6771.5,6785.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,
2025-11-04T19:45:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6768.87,6780.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-04T20:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6778.55,6795.0,412.0,Session window closed.,PRIMARY,6715.0,6795.0,6875.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,,0.426,,,,1.0,100.0,,22.9144,27.3841,1.3684,6.2641,0.426,0.4,0.026,conservative,,
2025-11-04T20:35:00+00:00,SPX,SESSION_FLUSH,ACTIVE_CENTERED,6778.55,6785.0,413.0,Session window closed.,SUPPLEMENTAL,6705.0,6785.0,6865.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,,0.426,,,,1.0,100.0,,23.3468,27.8928,1.8008,6.7728,0.426,0.4,0.026,conservative,,
2025-11-05T14:45:00+00:00,SPX,ENTER_PRIMARY,ACTIVE_CENTERED,6782.34,6775.0,414.0,Opened the primary butterfly corridor layer.,PRIMARY,6695.0,6775.0,6855.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,0.426,0.426,0.4,0.026,21.546,1.0,100.0,,,,,,,,,,,
2025-11-05T14:50:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6793.46,6775.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,18.46,,,,,,,,,,
2025-11-05T15:00:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6790.22,6780.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-05T15:05:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6797.39,6780.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,17.39,,,,,,,,,,
2025-11-05T15:10:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6789.79,6780.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-05T15:15:00+00:00,SPX,ADD_SUPPLEMENTAL,ACTIVE_CENTERED,6790.56,6785.0,415.0,Added a supplemental butterfly layer near the edge of the corridor.,SUPPLEMENTAL,6705.0,6785.0,6865.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,0.426,0.426,0.4,0.026,21.546,1.0,100.0,,,,,,,,,,,
2025-11-05T15:20:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6795.35,6780.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,15.35,,,,,,,,,,
2025-11-05T16:05:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6797.13,6785.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-05T16:20:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6799.26,6785.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,14.26,,,,,,,,,,
2025-11-05T16:55:00+00:00,SPX,REBUILD_REQUESTED,REBUILD,6815.15,6795.0,,Requested corridor rebuild after sustained drift.,,,,,,,,,,,,,,,,,,,20.15,,,,,,,,,8.0,
2025-11-05T17:00:00+00:00,SPX,REBUILT,REBUILD,6813.63,6775.0,414.0,Removed prior layers for rebuild.,PRIMARY,6695.0,6775.0,6855.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,,0.426,,,,1.0,100.0,,21.857,26.1402,0.311,5.0202,0.426,0.4,0.026,conservative,,
2025-11-05T17:00:00+00:00,SPX,REBUILT,REBUILD,6813.63,6785.0,415.0,Removed prior layers for rebuild.,SUPPLEMENTAL,6705.0,6785.0,6865.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,,0.426,,,,1.0,100.0,,22.2993,26.6605,0.7533,5.5405,0.426,0.4,0.026,conservative,,
2025-11-05T17:00:00+00:00,SPX,REBUILT,ACTIVE_CENTERED,6813.63,6795.0,416.0,Established a fresh primary butterfly corridor layer.,PRIMARY,6715.0,6795.0,6875.0,80.0,80.0,80.0,symmetric,7.0,21.546,21.12,0.426,0.426,0.4,0.026,21.546,1.0,100.0,,,,,,,,,,,
2025-11-05T17:05:00+00:00,SPX,DRIFT_STARTED,DRIFTING,6812.98,6795.0,,Corridor drift started.,,,,,,,,,,,,,,,,,,,17.98,,,,,,,,,,
2025-11-05T18:30:00+00:00,SPX,DRIFT_RESOLVED,ACTIVE_CENTERED,6825.34,6815.0,,Drift resolved without rebuilding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
